               E1 ,                E2
    11895.4615816 ,      7754.1062155
    4518.74790948 ,     396.123791409
    17558.3753223 ,     6461.90835309
    455.575143183 ,     824.725098257
     12516.036543 ,     21793.6399054
    24149.7483393 ,     18584.4855601
    6222.35030888 ,     143.398219335
    4368.23434907 ,     515.787099459
    50083.6931416 ,     12451.7927633
    27443.0213134 ,     5618.03799036
    198.840483249 ,     1589.48016572
    3029.60199982 ,     138.671793535
    20104.9371151 ,     1.38232676876
    7289.99408298 ,      1542.7504349
    8250.84837674 ,     326.545552146
    26981.4900092 ,     22366.0734062
    29662.3305662 ,     12895.0902874
    16486.3129341 ,     14775.2028939
    8807.83817178 ,     11907.3770022
    37357.8306974 ,     10777.6329173
    218.190511227 ,     1212.58643921
    8312.42270428 ,     14747.7146021
    5100.91898197 ,     4303.35615831
    37141.3954217 ,     6827.17167178
    23.9565907115 ,      1051.9949315
    8708.80268975 ,     8576.20903436
    21300.0401131 ,     13226.6114415
    449.775180282 ,     415.914921568
    32884.7118998 ,     7519.16525975
    1033.90813376 ,     16421.7868262
    28763.0541872 ,     999.395367354
    8781.22276196 ,     1696.18318677
    33.3224180956 ,     4230.90388405
    23558.4214489 ,     861.015385846
    16574.2936737 ,     8754.22389308
    31852.2239408 ,     14011.6212814
     4859.0778144 ,     6.28164054336
    2273.87377085 ,     1308.37661238
     758.46634626 ,     3526.65590933
    9204.15359671 ,       352.0343841
    3410.13395234 ,     7452.50476136
    7069.63371847 ,     4672.37020615
    23444.1247742 ,     8710.47960046
     4306.9843348 ,     47113.1299378
    19831.0335204 ,     182.284747091
    20008.1605084 ,     20731.7521002
    318.311087766 ,     649.792979649
     39684.283771 ,     6907.92517069
    6.14759150071 ,     61.7460364054
    747.517654281 ,      525.69002409
    4769.38157749 ,     3097.75590779
    1992.06810073 ,      8564.2434083
    15042.9258587 ,     41504.4356776
    7855.22714242 ,     16890.5665178
    42796.8661291 ,     39.1027425831
     8072.7424529 ,     3960.37563284
    13931.7516364 ,     8882.50411598
    16970.4911592 ,     2563.58566671
    8947.70055717 ,      18678.083941
    11202.2464253 ,     2041.95630535
    135.660145556 ,     6333.87963775
    454.468338154 ,      909.79258581
    1153.46007609 ,      9544.3664665
    10515.0050749 ,     2301.25481039
    30516.2989087 ,     15289.1436098
    803.136886675 ,     6354.41303021
    594.994342185 ,     2002.67920225
    405.113796981 ,     490.310117917
